"","x"
"325","NUB1"
"326","PGM3"
"327","RWDD2A"
"328","CLK1"
"329","POLR3B"
"330","ANGEL1"
"331","RNF14"
"332","DNASE1L1"
"333","DDX11"
"334","HEBP1"
"335","GPRC5A"
"336","MAMLD1"
"337","CD6"
"338","TACC3"
"339","UFL1"
"340","POLA2"
"341","ZC3H3"
"342","CAPN1"
"343","ACPP"
"344","MDH1"
"345","SLC30A9"
"346","MTMR11"
"347","COX15"
"348","CCDC88C"
"349","YAF2"
"350","ZMYND11"
"351","WAS"
"352","DPEP1"
"353","BID"
"354","NPC1L1"
"355","XYLT2"
"356","STMN4"
"357","NUDCD3"
"358","ISL1"
"359","CHDH"
"360","IL20RA"
"361","CLCA1"
"362","CLCA4"
"363","GLT8D1"
"364","ATP2C1"
"365","IGF1"
"366","SLC38A5"
"367","RALBP1"
"368","RUFY3"
"369","CNTN1"
"370","SLC11A1"
"371","WWTR1"
"372","AGPS"
"373","CXorf56"
"374","ATP1A2"
"375","TTC27"
"376","ZNF582"
"377","VSIG2"
"378","PHLDB1"
"379","MARCO"
"380","CYP24A1"
"381","PRDM11"
"382","SYT13"
"383","SNAI2"
"384","CD74"
"385","HGF"
"386","ZRANB1"
"387","NCDN"
"388","ADGRA2"
"389","ZFP64"
"390","MNAT1"
"391","SAMD4A"
"392","RUNX3"
"393","MRE11A"
"394","PLEKHB1"
"395","SERPINB1"
"396","CYP3A43"
"397","SLC7A9"
"398","SPAST"
"399","NRXN3"
"400","OSBPL5"
"401","AQR"
"402","CPS1"
"403","C8B"
"404","FHL1"
"405","RTFDC1"
"406","GABRA1"
"407","NLRP2"
"408","SLC45A4"
"409","RNF10"
"410","ZNF839"
"411","ZDHHC6"
"412","GRAMD1B"
"413","RNH1"
"414","NDUFS1"
"415","RB1CC1"
"416","ERP44"
"417","ALAS1"
"418","BIRC3"
"419","AKAP11"
"420","GLRX2"
"421","SNAPC1"
"422","DERA"
"423","STRAP"
"424","ABCC2"
"425","DEF6"
"426","PLEKHO1"
"427","GCLM"
"428","UBR2"
"429","EHD2"
"430","DEPDC1"
"431","CCDC28A"
"432","RRAGD"
"433","HSF2"
"434","PHF20"
"435","HSD17B6"
"436","NR1H3"
"437","TYMP"
"438","NCAPH2"
"439","TOMM34"
"440","SEC63"
"441","KPNA6"
"442","VIM"
"443","FAS"
"444","RNASET2"
"445","CD44"
"446","KCNG1"
"447","AGPAT4"
"448","SLAMF7"
"449","BTN3A1"
"450","MIPEP"
"451","PRKCH"
"452","INSRR"
"453","IFNGR1"
"454","B4GALT7"
"455","SH2D2A"
"456","VRK2"
"457","TNFRSF1B"
"458","VEZT"
"459","POU2F2"
"460","BRD9"
"461","SNX1"
"462","TBPL1"
"463","ARNTL2"
"464","BCLAF1"
"465","SLC39A9"
"466","ANK1"
"467","IBSP"
"468","TFB1M"
"469","RABEP1"
"470","HMGB3"
"471","NUP160"
"472","BAK1"
"473","MUSK"
"474","IKZF2"
"475","GRN"
"476","FAM13B"
"477","ARHGAP31"
"478","CENPQ"
"479","SARS"
"480","RANBP3"
"481","ARID4A"
"482","TSSC1"
"483","PNPLA6"
"484","IFT88"
"485","ALG1"
"486","ZCCHC8"
"487","ABCF2"
"488","CHPF2"
"489","LRRC7"
"490","FUT8"
"491","UBA6"
"492","GAB2"
"493","ATP6V0A1"
"494","PIAS1"
"495","SLC4A7"
"496","APBA2"
"497","MAP2K3"
"498","EFCAB1"
"499","TMSB10"
"500","ASTE1"
"501","RNF19A"
"502","PEX3"
"503","GABARAPL2"
"504","MYOC"
"505","SH3YL1"
"506","FAM136A"
"507","VCL"
"508","DEPDC1B"
"509","DAPK2"
"510","NSMAF"
"511","ADSS"
"512","STAP1"
