"","x"
"9128","TMEM267"
"9129","CCL28"
"9130","PARP8"
"9131","GFRA1"
"9132","CACUL1"
"9133","DST"
"9134","BEND6"
"9135","TIAL1"
"9136","BAG3"
"9137","GLT1D1"
"9138","TMEM132D"
"9139","RBM46"
"9140","MCHR2"
"9141","KCNE4"
"9142","AP1S3"
"9143","RABGAP1L"
"9144","CCDC74B"
"9145","MZT2B"
"9146","TUBA3E"
"9147","ASTN1"
"9148","FAM168B"
"9149","PTPN14"
"9150","LOC150776"
"9151","MGAT5"
"9152","TMEM163"
"9153","GPATCH11"
"9154","HSPB8"
"9155","GEMIN6"
"9156","TMEM178A"
"9157","POU4F1"
"9158","RNF219"
"9159","CYSLTR2"
"9160","GRID2"
"9161","ARL11"
"9162","RIT2"
"9163","SETBP1"
"9164","ARL14EP"
"9165","EPG5"
"9166","PSTPIP2"
"9167","ATP5A1"
"9168","HAUS1"
"9169","C18orf25"
"9170","SPC25"
"9171","G6PC2"
"9172","PDK1"
"9173","PTH"
"9174","PDE3B"
"9175","TCF7L1"
"9176","TGOLN2"
"9177","SH2D6"
"9178","KCNK13"
"9179","UHMK1"
"9180","ATG10"
"9181","POC5"
"9182","SPOCK1"
"9183","FAM151B"
"9184","TADA1"
"9185","GUCY1A2"
"9186","CWF19L2"
"9187","JMY"
"9188","HOMER1"
"9189","XRCC4"
"9190","BOLL"
"9191","ZNF773"
"9192","ZNF776"
"9193","ZNF256"
"9194","SUV39H2"
"9195","DCLRE1C"
"9196","OLAH"
"9197","RPP38"
"9198","NMT2"
"9199","ZSCAN1"
"9200","ZNF837"
"9201","USP12"
"9202","CCDC50"
"9203","CAMK4"
"9204","TRIM36"
"9205","ZFP36L2"
"9206","PAN3"
"9207","PLEKHH2"
"9208","PFKM"
"9209","TMEM123"
"9210","GRIA4"
"9211","IGSF10"
"9212","SPEF2"
"9213","SPARCL1"
"9214","DSPP"
"9215","DMP1"
"9216","MEPE"
"9217","MBNL1"
"9218","CAPSL"
"9219","NADK2"
"9220","GPD1L"
"9221","GJA1"
"9222","CCNO"
"9223","DDX4"
"9224","CLEC4F"
"9225","SLC30A6"
"9226","RASGRP3"
"9227","SAR1B"
"9228","CATSPER3"
"9229","GPR180"
"9230","TCTEX1D1"
"9231","WDR78"
"9232","ANKRD22"
"9233","FARP1"
"9234","IFIT5"
"9235","SLC16A12"
"9236","PANK1"
"9237","PRDM8"
"9238","BMP3"
"9239","HNRNPDL"
"9240","HHEX"
"9241","UTRN"
"9242","GRM1"
"9243","PTPRK"
"9244","GGPS1"
"9245","CNTNAP4"
"9246","ZNF117"
"9247","PART1"
"9248","RAB3C"
"9249","LMNTD1"
"9250","MARVELD2"
"9251","RAD17"
"9252","MED21"
"9253","PLOD2"
"9254","STK32B"
"9255","NRSN1"
"9256","JAKMIP1"
"9257","ZIC1"
"9258","ADGRA3"
"9259","CPB1"
"9260","SREK1IP1"
"9261","LGI2"
"9262","CWC27"
"9263","MR1"
"9264","CENPH"
"9265","CDYL"
"9266","CARHSP1"
"9267","TEKT5"
"9268","BANK1"
"9269","TXNDC11"
"9270","DAB2"
"9271","ACMSD"
"9272","ACOXL"
"9273","BCL2L11"
"9274","ANAPC1"
"9275","CAST"
"9276","SCOC"
"9277","CLGN"
"9278","CETN3"
"9279","SMARCA5"
"9280","SYCP2L"
"9281","BMP6"
"9282","RGPD3"
"9283","RASSF3"
"9284","HNRNPU"
"9285","RANBP2"
"9286","AHCTF1"
"9287","MERTK"
"9288","TMEM87B"
"9289","PTPRR"
"9290","NR4A2"
"9291","CCDC148"
"9292","PLA2R1"
"9293","RBMS1"
"9294","SCN3A"
"9295","FEZF2"
"9296","CD96"
"9297","SLC25A27"
"9298","ADGRF1"
"9299","ADGRF4"
"9300","FRMD1"
"9301","FAM49B"
"9302","ASAP1"
"9303","TRAPPC8"
"9304","FAM81B"
"9305","LINC00467"
"9306","INO80C"
"9307","LPCAT1"
"9308","PLEKHG4B"
"9309","NMRAL1"
"9310","UBALD1"
"9311","C16orf89"
"9312","ING1"
"9313","TEX29"
"9314","SPACA7"
"9315","ADPRHL1"
"9316","CMTM7"
"9317","FBXL2"
"9318","UBP1"
"9319","RMND5A"
"9320","CD8A"
"9321","RPIA"
"9322","PTPRD"
"9323","LURAP1L"
"9324","CNKSR3"
"9325","GTF2E1"
"9326","CFDP1"
"9327","ZDHHC7"
"9328","FAM92B"
"9329","C7orf31"
"9330","TMPRSS11D"
"9331","JAZF1"
"9332","CMIP"
"9333","SPHKAP"
"9334","KCNJ16"
"9335","PID1"
"9336","TRIP12"
"9337","FBXO36"
"9338","CEBPG"
"9339","KCTD15"
"9340","ZNF599"
"9341","MCOLN2"
"9342","LGI4"
"9343","DDAH1"
"9344","SREK1"
"9345","CHD1"
"9346","CLCA3P"
"9347","ANKFN1"
"9348","DGKE"
"9349","HS2ST1"
"9350","MSI2"
"9351","CACNA2D1"
"9352","ZUFSP"
"9353","HS3ST3A1"
"9354","GDPD1"
"9355","NUS1"
"9356","SEMA3D"
"9357","PPP2R5E"
"9358","ASB17"
"9359","GRAP"
"9360","SLC5A10"
"9361","AK5"
"9362","CABYR"
"9363","IMPACT"
"9364","ANKRD29"
"9365","SDHAF4"
"9366","CHST9"
"9367","THY1"
"9368","DNAAF1"
"9369","C16orf74"
"9370","TBCEL"
"9371","JPH3"
"9372","ANKH"
"9373","OTULIN"
"9374","UBASH3B"
"9375","ROBO4"
"9376","ROBO3"
"9377","PANX3"
"9378","TBRG1"
"9379","NRGN"
"9380","FAM134B"
"9381","CDH12"
"9382","GPR15"
"9383","TOMM70"
"9384","ABI3BP"
"9385","ANGPT1"
"9386","PITPNC1"
"9387","CC2D1B"
"9388","CERS3"
"9389","PRKCA"
"9390","LRRK1"
"9391","CEP112"
"9392","GAL3ST2"
"9393","ABCA9"
"9394","ABCA6"
"9395","ABCA10"
"9396","ABCA5"
"9397","ENPP3"
"9398","C4orf19"
"9399","UCHL1"
"9400","MIA3"
"9401","DISP1"
"9402","TNIK"
"9403","TDH"
"9404","FAM167A"
"9405","NEIL2"
"9406","PGM5"
"9407","WNT3A"
"9408","OBSCN"
"9409","LONRF1"
"9410","TRIM11"
"9411","ENAH"
"9412","PPP1R3A"
"9413","CCSAP"
"9414","ASZ1"
"9415","SH3RF1"
"9416","GBP5"
"9417","BUB3"
"9418","GPR26"
"9419","CCDC173"
"9420","MMP21"
"9421","C10orf90"
"9422","FAM69A"
"9423","ATP5G3"
"9424","LOC100289279"
"9425","SRSF12"
"9426","PDLIM3"
"9427","SORBS2"
"9428","TCEB1"
"9429","LY96"
"9430","CEP170P1"
"9431","PSMA8"
"9432","TMSB4Y"
"9433","CXADR"
"9434","BTG3"
"9435","C21orf91"
"9436","CHODL"
"9437","TMPRSS15"
"9438","NCAM2"
"9439","L3MBTL4"
"9440","PDE1C"
"9441","MRPL39"
"9442","JAM2"
"9443","ATP5J"
"9444","GABPA"
"9445","ADAMTS1"
"9446","ADAMTS5"
"9447","TSEN2"
"9448","SLFN13"
"9449","WNT7A"
"9450","XPC"
"9451","CCDC174"
"9452","FGD5"
"9453","DPH3"
"9454","OXNAD1"
"9455","PLCL2"
"9456","CXXC1"
"9457","SKA1"
"9458","PPP4R1"
"9459","APCDD1"
"9460","PIEZO2"
"9461","CCDC144B"
"9462","MPPE1"
"9463","CCDC144CP"
"9464","USP43"
"9465","RAB6B"
"9466","EME1"
"9467","EPHB1"
"9468","ACSS1"
"9469","ANKRD40"
"9470","ZNF18"
"9471","CA10"
"9472","VOPP1"
"9473","SEPT14"
"9474","APOOL"
"9475","DKK2"
"9476","CYP2U1"
"9477","RSPH10B"
"9478","FBXL18"
"9479","CNTNAP5"
"9480","PROM2"
"9481","AK9"
"9482","ODF1"
"9483","KLF10"
"9484","PTPRN2"
"9485","AZIN1"
"9486","ATP6V1C1"
"9487","TMEM55A"
"9488","OTUD6B"
"9489","CDK19"
"9490","GTF3C6"
"9491","TTC39B"
"9492","AGPAT5"
"9493","MMS19"
"9494","OR4K1"
"9495","PI4K2A"
"9496","MARVELD1"
"9497","ZFYVE27"
"9498","GOLGA7B"
"9499","GPR78"
"9500","TRMT44"
"9501","SLC25A28"
"9502","HSPA13"
"9503","SAMSN1"
"9504","USP25"
"9505","GRAMD3"
"9506","ZCCHC10"
"9507","C16orf87"
"9508","MOV10"
"9509","RHOC"
"9510","PPM1J"
"9511","DBI"
"9512","SLC16A1"
"9513","HEATR3"
"9514","TRIM74"
"9515","NIFK"
"9516","OXA1L"
"9517","SLC7A7"
"9518","MAGEC1"
"9519","LARP1"
"9520","CNOT8"
"9521","GRIA1"
"9522","LRGUK"
"9523","SETD9"
"9524","MIER3"
"9525","NUP205"
"9526","ZKSCAN2"
"9527","C9orf85"
"9528","XAGE2"
"9529","PIK3AP1"
"9530","RBM45"
"9531","C10orf12"
"9532","TTN"
"9533","VSIG4"
"9534","PDIA4"
"9535","KDM8"
"9536","PDZD9"
"9537","OTOA"
"9538","KCTD18"
"9539","FAM126B"
"9540","ALS2CR12"
"9541","ALS2CR11"
"9542","TMEM237"
"9543","FZD7"
"9544","SPAG17"
"9545","DEPTOR"
"9546","FMN2"
"9547","RNF20"
"9548","CYLC2"
"9549","PPARGC1B"
"9550","ELMO1"
"9551","SLC26A2"
"9552","LSM11"
"9553","MED7"
"9554","SAXO1"
"9555","RRAGA"
"9556","SLC24A2"
"9557","TRIM42"
"9558","PXYLP1"
"9559","ADCY8"
"9560","RASA2"
"9561","RMND1"
"9562","RAET1L"
"9563","SLA"
"9564","VBP1"
"9565","RAB39B"
"9566","CLIC2"
"9567","AFF2"
"9568","MICU3"
"9569","GRIP1"
"9570","VPS37A"
"9571","KIF5A"
"9572","NAT2"
"9573","MAGEA8"
"9574","PSD3"
"9575","CARNMT1"
"9576","MCU"
"9577","ELMSAN1"
"9578","CFAP70"
"9579","GNA14"
"9580","FAM161B"
"9581","GNAQ"
"9582","WIF1"
"9583","UGT2B4"
"9584","GPR61"
"9585","MMP16"
"9586","ADK"
"9587","KCNMA1"
"9588","BATF"
"9589","DCK"
"9590","ADAMTS3"
"9591","ALX3"
"9592","DPY19L4"
"9593","NDUFAF6"
"9594","DRAM2"
"9595","C8orf37"
"9596","PPEF2"
"9597","CFAP161"
"9598","ADAMTSL3"
"9599","ART3"
"9600","SLC28A1"
"9601","WHAMM"
"9602","CXCL13"
"9603","N6AMT1"
"9604","RWDD2B"
"9605","USP16"
"9606","CCT8"
"9607","MAP3K7CL"
"9608","NAA11"
"9609","GRIK1-AS2"
"9610","CLDN17"
"9611","CLDN8"
"9612","TIAM1"
"9613","SCAF4"
"9614","RPGR"
"9615","CDK20"
"9616","PCGF6"
"9617","ANKRD9"
"9618","SFR1"
"9619","SORCS3"
"9620","SFXN2"
"9621","C14orf2"
"9622","FUT6"
"9623","TDRD9"
"9624","FGF18"
"9625","PCDH1"
"9626","SH3RF2"
"9627","GDF6"
"9628","UQCRB"
"9629","MTERF3"
"9630","PTDSS1"
"9631","PPP2R2B"
"9632","RPL30"
"9633","KCNS2"
"9634","FAM122C"
"9635","SUPV3L1"
"9636","FAM122B"
"9637","EEF1A1"
"9638","FBXO43"
"9639","HKDC1"
"9640","HK1"
"9641","TYSND1"
"9642","PHF6"
"9643","CD109"
"9644","LRFN2"
"9645","NODAL"
"9646","PRG3"
"9647","UBE2L6"
"9648","ZDHHC5"
"9649","MED19"
"9650","ZFAND3"
"9651","NPTN"
"9652","KAT6B"
"9653","SAMD8"
"9654","RAB11FIP1"
"9655","UNC5D"
"9656","GLYATL2"
"9657","UTP14A"
"9658","AIFM1"
"9659","MAPK13"
"9660","BAG4"
"9661","MS4A1"
"9662","TBC1D31"
"9663","WDYHV1"
"9664","ATAD2"
"9665","FBXO32"
"9666","NSMCE2"
"9667","ZNF689"
"9668","PRR14"
"9669","FBRS"
"9670","FRRS1"
"9671","PHKG2"
"9672","MFSD14A"
"9673","SASS6"
"9674","COX6A2"
"9675","ITGAD"
"9676","ADGRG4"
"9677","ZIC3"
"9678","MALSU1"
"9679","VPS8"
"9680","GALK2"
"9681","LHFPL4"
"9682","B3GNT7"
"9683","BUB1B"
"9684","PDE6D"
"9685","EIF4A2"
"9686","BRPF1"
"9687","RPUSD3"
"9688","SST"
"9689","GHRL"
"9690","SEC13"
"9691","EXOG"
"9692","NTAN1"
"9693","SHCBP1L"
"9694","NMNAT2"
"9695","ZFYVE9"
"9696","ATP2B2"
"9697","LYZL4"
"9698","SLC6A1"
"9699","SMG1"
"9700","FCHO2"
"9701","RBPMS"
"9702","TMEM171"
"9703","KLHL40"
"9704","C8A"
"9705","TIMP4"
"9706","SYN2"
"9707","NRG1"
"9708","C1orf27"
"9709","CPT2"
"9710","NECAP2"
"9711","LRP8"
"9712","CDCP2"
"9713","PAXIP1"
"9714","STEAP2"
"9715","SSBP3"
"9716","HTR5A"
"9717","MMP14"
"9718","FZD1"
"9719","GATAD1"
"9720","SUSD3"
"9721","RP11-66N24.4"
"9722","CLEC18A"
"9723","DHRS4L1"
"9724","C1orf158"
"9725","CLEC18C"
"9726","ARMC12"
"9727","DDX19B"
"9728","ST3GAL2"
"9729","FUK"
"9730","IL34"
"9731","DHRS1"
"9732","CACNA1D"
"9733","ARSE"
"9734","KIT"
"9735","HYDIN"
"9736","AASDH"
"9737","CACNA2D3"
"9738","RNF111"
"9739","CCNB2"
"9740","FAM81A"
"9741","MYO1E"
"9742","APPL1"
"9743","MUM1L1"
"9744","AFAP1L1"
"9745","TSC22D3"
"9746","DSCR3"
"9747","DYRK1A"
"9748","KCNJ6"
"9749","KCNJ15"
"9750","ERG"
"9751","ETS2"
"9752","TSPAN18"
"9753","LCA5L"
"9754","SLC35B2"
"9755","TMEM164"
"9756","MX1"
"9757","CREB3L1"
"9758","C2CD2"
"9759","TAB3"
"9760","SLC38A10"
"9761","C9orf43"
"9762","ZNF618"
"9763","DGKI"
"9764","TMEM268"
"9765","SVOPL"
"9766","SNX22"
"9767","UBN2"
"9768","BRAF"
"9769","SLC34A2"
"9770","ACAN"
"9771","PSMG3"
"9772","CABP1"
"9773","WDR19"
"9774","SLC37A3"
"9775","FMNL2"
"9776","GAREM2"
"9777","SPPL3"
"9778","DPYSL5"
"9779","DRC1"
"9780","RAB28"
"9781","FAM213B"
"9782","TNFRSF14"
"9783","PANK4"
"9784","CIB4"
"9785","MEGF11"
"9786","C12orf43"
"9787","PEX10"
"9788","RER1"
"9789","RADIL"
"9790","SKI"
"9791","WIPI2"
"9792","LDLRAP1"
"9793","AGAP1"
"9794","KRTCAP3"
"9795","ANKRD61"
"9796","PAFAH2"
"9797","EXTL1"
"9798","SLC30A2"
"9799","BRE"
"9800","TRIM63"
"9801","WDR66"
"9802","MRPL17"
"9803","DUSP2"
"9804","GRHL3"
"9805","UBXN11"
"9806","NLRP14"
"9807","PTPDC1"
"9808","GALNT14"
"9809","NCK1"
"9810","HPD"
"9811","RHPN1"
"9812","TPRG1L"
"9813","LRRC43"
"9814","AAED1"
"9815","XDH"
"9816","XKR8"
"9817","CNNM4"
"9818","EYA3"
"9819","DZIP1L"
"9820","TMSB15A"
"9821","FANCC"
"9822","MRAS"
"9823","WASF2"
"9824","ABHD3"
"9825","ESYT3"
"9826","FAIM"
"9827","FAM46B"
"9828","CLSTN2"
"9829","COLEC12"
"9830","RNF207"
"9831","CUL4B"
"9832","GPR153"
"9833","SLC13A3"
"9834","GPRASP2"
"9835","RHBDL2"
"9836","AUTS2"
"9837","SHROOM4"
"9838","HIST1H2BD"
"9839","CDC25C"
"9840","HIST1H4H"
"9841","MITD1"
"9842","EIF5B"
"9843","RIBC1"
"9844","TMSB15B"
"9845","CATIP"
"9846","CNOT11"
"9847","KCNB1"
"9848","TSPAN33"
"9849","NRG2"
"9850","AHCYL2"
"9851","B4GALT5"
"9852","CD1D"
"9853","CD1A"
"9854","SPATA2"
"9855","CD1C"
"9856","SNX29P1"
"9857","FAM86C1"
"9858","CD1B"
"9859","DNAH3"
"9860","CD1E"
"9861","CPA2"
"9862","CPA5"
"9863","TSR2"
"9864","PPP1R9A"
"9865","ZC3H18"
"9866","ZFAND2B"
"9867","POM121L2"
"9868","GDPD5"
"9869","DYNC1I1"
"9870","PFKFB1"
"9871","ALAS2"
"9872","TMED4"
"9873","PPP1R15B"
"9874","COPG2"
"9875","EMSY"
"9876","PAGE5"
"9877","GPAT4"
"9878","ZSCAN12"
"9879","TAGLN2"
"9880","ELK4"
"9881","SLAMF8"
"9882","SLC45A3"
"9883","DUSP23"
"9884","RNF166"
"9885","HTR6"
"9886","ITLN2"
"9887","USF1"
"9888","PLA2G2F"
"9889","SPATA2L"
"9890","NIT1"
"9891","DEDD"
"9892","ZNF276"
"9893","NPM2"
"9894","EDA"
"9895","FGF17"
"9896","VWA5B1"
"9897","CDA"
"9898","PINK1"
"9899","B4GALT3"
"9900","DMTN"
"9901","ADAMTS4"
"9902","FAM160B2"
"9903","NDUFS2"
"9904","SLC5A11"
"9905","FCER1G"
"9906","APOA2"
"9907","TOMM40L"
"9908","MPZ"
"9909","WFDC8"
"9910","CCAR2"
"9911","WNT9B"
"9912","CACHD1"
"9913","CDC42SE2"
"9914","EPB41"
"9915","MIS18A"
"9916","ALG8"
"9917","FBXW5"
"9918","C21orf59"
"9919","SYNJ1"
"9920","PAXBP1"
"9921","IFNAR2"
"9922","MRPL10"
"9923","IFNGR2"
"9924","GART"
"9925","SON"
"9926","DONSON"
"9927","SV2A"
"9928","LAD1"
"9929","STC1"
"9930","TNNI1"
"9931","CSRP1"
"9932","PRAC1"
"9933","HOXB13"
"9934","C1QC"
"9935","KCNE2"
"9936","ATP5G1"
"9937","RCAN1"
"9938","UBE2Z"
"9939","CIART"
"9940","SNF8"
"9941","CLIC6"
"9942","CCDC24"
"9943","LOC100506403"
"9944","IGF2BP1"
"9945","GIP"
"9946","CBR1"
"9947","CBR3"
"9948","C2orf81"
"9949","TUBBP5"
"9950","GJD2"
"9951","ACTC1"
"9952","MORC3"
"9953","CHAF1B"
"9954","CLDN14"
"9955","SIM2"
"9956","HLCS"
"9957","GOLGA6A"
"9958","SCUBE1"
"9959","ARHGAP27"
"9960","ADPGK"
"9961","PTMS"
"9962","PLA2G4D"
"9963","PADI4"
"9964","ADIPOR1"
"9965","CYB5R1"
"9966","PSMD4"
"9967","ATP13A2"
"9968","M1AP"
"9969","PSMB4"
"9970","IRX6"
"9971","BTG2"
"9972","CES5A"
"9973","HK2"
"9974","C1R"
"9975","CELF3"
"9976","STARD9"
"9977","THEM4"
"9978","TCHH"
"9979","LCE2B"
"9980","UBR1"
"9981","AMFR"
"9982","MED8"
"9983","TGM7"
"9984","RGL4"
"9985","SPRR2G"
"9986","PGLYRP3"
"9987","ISL2"
"9988","RSPRY1"
"9989","CCDC17"
"9990","GPBP1L1"
"9991","NAE1"
"9992","TMEM69"
"9993","ADGRG5"
"9994","DRC7"
"9995","ACE"
"9996","TEPP"
"9997","UROC1"
"9998","EFCAB14"
"9999","SPON2"
"10000","CHCHD6"
"10001","CTBP1"
"10002","LRRC36"
"10003","ANKRD18CP"
"10004","TPPP3"
"10005","ZDHHC1"
"10006","ATP6V0D1"
"10007","AGRP"
"10008","ZFYVE28"
"10009","CARMIL2"
"10010","C16orf86"
"10011","PIP"
"10012","FAM131B"
"10013","RGS12"
"10014","PSKH1"
"10015","ZYX"
"10016","ABR"
"10017","LYPD5"
"10018","CCDC117"
"10019","ZNF230"
"10020","CCDC107"
"10021","NPR2"
"10022","ZNF890P"
"10023","ZNF221"
"10024","ZNF233"
"10025","ZNF235"
"10026","GNE"
"10027","TNFRSF13C"
"10028","OR3A3"
"10029","ARHGAP35"
"10030","PTGIR"
"10031","CALM3"
"10032","DFFA"
"10033","CCDC28B"
"10034","IQCC"
"10035","TMEM234"
"10036","BSDC1"
"10037","ATAD3B"
"10038","SSU72"
"10039","UBE2J2"
"10040","ZNF362"
"10041","FNDC5"
"10042","CPAMD8"
"10043","NR2F6"
"10044","ANKLE1"
"10045","CCDC58"
"10046","VMA21"
"10047","KALRN"
"10048","CILP2"
"10049","FAM86C2P"
"10050","ABCG1"
"10051","TFF3"
"10052","TFF2"
"10053","TFF1"
"10054","TMPRSS3"
"10055","UBASH3A"
"10056","RSPH1"
"10057","SLC37A1"
"10058","PDE9A"
"10059","WDR4"
"10060","NDUFV3"
"10061","PKNOX1"
"10062","HSF2BP"
"10063","RRP1B"
"10064","LOC105372824"
"10065","G6PD"
"10066","CSTB"
"10067","RRP1"
"10068","AGPAT3"
"10069","TRAPPC10"
"10070","GAB3"
"10071","AIRE"
"10072","C21orf2"
"10073","ZNF66"
"10074","LRRC3"
"10075","ITGB2"
"10076","FAM207A"
"10077","RALGDS"
"10078","FTCD"
"10079","SPATC1L"
"10080","LSS"
"10081","VAV2"
"10082","MCM3AP"
"10083","C21orf58"
"10084","PCNT"
"10085","DIP2A"
"10086","S100B"
"10087","PRMT2"
"10088","CLDND2"
"10089","ADAMTS13"
"10090","CACFD1"
"10091","SLC2A6"
"10092","ZNF761"
"10093","FCN2"
"10094","C9orf116"
"10095","LCN1"
"10096","ZNF714"
"10097","GPSM1"
"10098","C19orf47"
"10099","HIPK4"
"10100","CFAP157"
"10101","TOR2A"
"10102","ST6GALNAC6"
"10103","SHKBP1"
"10104","RDH13"
"10105","ZER1"
"10106","ZDHHC12"
"10107","PKN3"
"10108","SPTBN4"
"10109","BRSK1"
"10110","COX6B2"
"10111","TMEM190"
"10112","NLRP4"
"10113","PLPP7"
"10114","TAOK1"
"10115","MED27"
"10116","DEDD2"
"10117","SIK3"
"10118","MPZL3"
"10119","JAML"
"10120","NEK8"
"10121","TLCD1"
"10122","PCSK7"
"10123","SAFB"
"10124","CD3G"
"10125","S100A1"
"10126","CHTOP"
"10127","CXCR5"
"10128","ZBTB7B"
"10129","FLAD1"
"10130","SHC1"
"10131","VPS11"
"10132","NLRX1"
"10133","ADAR"
"10134","IL6R"
"10135","UBE2Q1"
"10136","CHRNB2"
"10137","CRTC2"
"10138","ANO10"
"10139","FDPS"
"10140","RUSC1"
"10141","GBAP1"
"10142","FAM189B"
"10143","PAQR6"
"10144","SLC25A44"
"10145","LMNA"
"10146","CCR5"
"10147","NBEAL2"
"10148","CCDC12"
"10149","PTH1R"
"10150","UBQLN4"
"10151","MYL3"
"10152","PPP1R35"
"10153","GPATCH4"
"10154","LRRC71"
"10155","FCRL3"
"10156","AZGP1"
"10157","FGFR4"
"10158","CYP3A4"
"10159","NACC1"
"10160","CYP11B1"
"10161","HK3"
"10162","LY6K"
"10163","IER2"
"10164","ZNF394"
"10165","CPSF4"
"10166","LY6E"
"10167","VPS28"
"10168","TONSL"
"10169","PTGER1"
"10170","MUM1"
"10171","RECQL4"
"10172","LRRC14"
"10173","ZNF333"
"10174","COL26A1"
"10175","PPP1R16A"
"10176","FOXH1"
"10177","ORAI2"
"10178","ALKBH4"
"10179","CCDC105"
"10180","SH2B2"
"10181","C5orf45"
"10182","SQSTM1"
"10183","MGAT4B"
"10184","RPL8"
"10185","MAML1"
"10186","PGLYRP2"
"10187","LRWD1"
"10188","FBXL13"
"10189","NAPEPLD"
"10190","SCGB3A1"
"10191","PSMC2"
"10192","CELF5"
"10193","MFSD12"
"10194","AC008132.13"
"10195","XXbac-B444P24.10"
"10196","TUBA3FP"
"10197","YDJC"
"10198","CCDC116"
"10199","PCYT1A"
"10200","FBXO27"
"10201","DMKN"
"10202","BDH1"
"10203","NPHS1"
"10204","THAP8"
"10205","COX7A1"
"10206","ZNF382"
"10207","LRRC56"
"10208","PLXDC1"
"10209","PGAP3"
"10210","IKZF3"
"10211","GRIN2C"
"10212","FDXR"
"10213","SAP30BP"
"10214","ACOX1"
"10215","PRPSAP1"
"10216","CYGB"
"10217","SRSF2"
"10218","ZNF577"
"10219","TMEM143"
"10220","KLHL10"
"10221","CCDC155"
"10222","HCRT"
"10223","ALDH16A1"
"10224","DCD"
"10225","ITGA5"
"10226","SIGLEC11"
"10227","ZNF385A"
"10228","SIGLEC16"
"10229","MPP3"
"10230","CD300LG"
"10231","IZUMO2"
"10232","NAGS"
"10233","LSM12"
"10234","ASB16"
"10235","EMC10"
"10236","JOSD2"
"10237","SHANK1"
"10238","FAM171A2"
"10239","DBF4B"
"10240","PLCD3"
"10241","FMNL3"
"10242","AQP5"
"10243","RACGAP1"
"10244","OR7G1"
"10245","LARP4"
"10246","GRASP"
"10247","RAVER1"
"10248","KRT84"
"10249","KRT82"
"10250","SYCE2"
"10251","SPC24"
"10252","IP6K3"
"10253","LEMD2"
"10254","ALOX15"
"10255","TREML1"
"10256","ADCY10P1"
"10257","ZNF653"
"10258","MED11"
"10259","CXCL16"
"10260","SCIMP"
"10261","BCL6B"
"10262","ASGR2"
"10263","CCDC42"
"10264","POLR3K"
"10265","SNRNP25"
"10266","PRR35"
"10267","JMJD8"
"10268","CCDC78"
"10269","MSLNL"
"10270","SSTR5"
"10271","SPSB3"
"10272","MEIOB"
"10273","HS3ST6"
"10274","C16orf59"
"10275","CCNF"
"10276","AMDHD2"
"10277","NTN3"
"10278","BICDL2"
"10279","PAQR4"
"10280","FLYWCH2"
"10281","ZG16B"
"10282","ZNF75A"
"10283","ADCY9"
"10284","SHANK2"
"10285","CLPB"
"10286","NEU3"
"10287","CYB561A3"
"10288","PPP1R32"
"10289","ASRGL1"
"10290","GNG3"
"10291","UBXN1"
"10292","LBHD1"
"10293","TTC9C"
"10294","TAF6L"
"10295","NXF1"
"10296","STX5"
"10297","SLC25A45"
"10298","RPL29"
"10299","ITIH3"
"10300","SYVN1"
"10301","ZFPL1"
"10302","RPS6KA4"
"10303","LRP5"
"10304","TPCN2"
"10305","FGF19"
"10306","CYP4A22"
"10307","PDZK1IP1"
"10308","TAL1"
"10309","CMPK1"
"10310","ELAVL4"
"10311","COA7"
"10312","ZYG11B"
"10313","SLC1A7"
"10314","C1orf123"
"10315","MAGOH"
"10316","ACOT11"
"10317","FAM151A"
"10318","PARS2"
"10319","LEXM"
"10320","BSND"
"10321","USP24"
"10322","PLPP3"
"10323","NOL9"
"10324","PRKAA2"
"10325","KLHL21"
"10326","ZSWIM5"
"10327","GMEB1"
"10328","SLC45A1"
"10329","SEPN1"
"10330","AK4"
"10331","JAK1"
"10332","RAVER2"
"10333","CTRC"
"10334","LZIC"
"10335","RBP7"
"10336","KNCN"
"10337","FBLIM1"
"10338","TMEM82"
"10339","SLC25A34"
"10340","AKR7A3"
"10341","DRAXIN"
"10342","PDPN"
"10343","LRRC38"
"10344","DHRS3"
"10345","MATN1"
"10346","LAPTM5"
"10347","SDC3"
"10348","PEF1"
"10349","SYNC"
"10350","RBBP4"
"10351","KIAA1522"
"10352","TSSK3"
"10353","TMCO4"
"10354","UBXN10"
"10355","CAMK2N1"
"10356","ALPL"
"10357","WNT4"
"10358","TTLL10"
"10359","SCNN1D"
"10360","MXRA8"
"10361","FAAP20"
"10362","MEGF6"
"10363","CCDC27"
"10364","IL23R"
"10365","DIRAS3"
"10366","C1orf87"
"10367","NFIA"
"10368","MYSM1"
"10369","TM2D1"
"10370","USP1"
"10371","FUBP1"
"10372","NEXN"
"10373","DNAJB4"
"10374","ADGRL4"
"10375","LRRIQ3"
"10376","LRRC53"
"10377","TYW3"
"10378","LHX8"
"10379","SNX7"
"10380","B3GALT2"
"10381","NTNG1"
"10382","FAM102B"
"10383","HENMT1"
"10384","AKNAD1"
"10385","C1orf52"
"10386","WDR63"
"10387","GBP2"
"10388","ATXN7L2"
"10389","GBP4"
"10390","ZNF326"
"10391","HFM1"
"10392","BRINP3"
"10393","GFI1"
"10394","KCNT2"
"10395","AGL"
"10396","VCAM1"
"10397","EXTL2"
"10398","SLC30A7"
"10399","DNAJA1P5"
"10400","ZNF281"
