MAARS_1_012_03	MAARS_1_029_03	MAARS_1_031_03	MAARS_1_033_03	MAARS_1_035_03	MAARS_1_036_03	MAARS_1_038_03	MAARS_1_040_03	MAARS_1_042_03	MAARS_1_043_03	MAARS_1_048_03	MAARS_1_053_03	MAARS_1_056_03	MAARS_1_059_03	MAARS_1_060_03	MAARS_1_063_03	MAARS_1_065_03	MAARS_1_069_03	MAARS_1_070_03	MAARS_1_073_03
MAD1L1	5.35218812354785	5.34882499151278	5.08898159461121	5.32526856661578	5.22206727850084	4.88927802957895	5.45579454078301	5.33144190144729	5.36113868479959	5.00884486995472	5.37695338155326	5.29615893869096	5.558621559874	5.03575895927384	5.12973555893793	5.29035912191443	5.3355606686738	5.24361127427082	5.17713563606174	5.44964816714624
LASP1	8.07048717314543	8.52948416095056	8.40948963358271	8.31123958956642	8.40295980196104	8.36169921438726	8.38069196404128	8.16197503097379	8.14582514637086	8.24579817428015	8.35599002604978	8.21762835142167	8.26889904524167	8.36023407440246	8.43041034100885	8.52140776103545	8.13360956045688	8.30560735621447	8.43044611004082	8.02437297739414
SNX11	6.28850868458	6.4880064386854	6.72361394117986	6.48136794903447	6.23378841427074	6.4287523651633	6.73883711775336	6.23743648227532	6.61318406001301	6.49485637569426	6.54860155381602	6.24194176478007	6.1112449676756	6.41963170515309	6.63643113241313	6.72764767845034	6.39076729509072	6.38944746990952	6.14710034882601	6.57985370852453
TMEM176A	5.1760003058723	5.23063560475954	5.26622710221026	5.1938653982287	5.39853381582378	5.1859674197015	5.40606393665723	4.9948525973547	4.97754929781759	4.93379969871961	5.35339929090642	4.76929719359303	5.04972975553109	5.21751056256359	5.34188275362168	5.71175135131722	5.00106085479485	4.92568623426754	5.40622162204969	5.15581377475789
M6PR	7.29361783766529	7.44055831124035	7.30687502714879	7.37114208710228	7.29934146807494	7.21564100306685	7.44746629304241	7.34525206415869	7.52115922836255	7.37565555685543	7.24437271946507	7.27302046915016	7.35502096761624	7.22776886426435	7.23799529217517	7.25400746994401	7.18672935369526	7.28351301332741	7.35724895252597	7.4404547592669
KLHL13	3.92060899498914	3.89666928466334	4.08584968278618	3.96158662783773	3.76902971557014	4.26062658056319	4.07815846441001	3.88737690716264	3.8806177937456	3.69789491968784	3.9987223079018	3.95137957411435	4.12184202913392	4.09250053045879	4.51343921995601	4.33143958319105	4.08842464055209	4.03090736577201	3.92649351365028	3.9439646174291
CYP26B1	6.37062089489864	6.67002221493955	6.42038539710689	6.41858975767291	6.4308786215536	6.30846638638019	6.5357497726885	6.08883090527187	6.34889523936066	5.96291834838717	6.19011603526831	6.4721566425596	5.92771285278625	6.15264375287	6.20469086631863	6.47254162348695	6.09150954998448	6.35997273132053	6.17206616340352	5.93246311992672
ICA1	4.77729183496066	5.2040531936495	5.08361972144218	4.9495696943622	5.10677093675955	5.13016569100794	4.9184198329567	5.20337441536049	5.21792309657808	5.71849557779795	4.54209556401134	5.59830568406909	5.10310085674898	4.90360695655203	5.48242876595623	5.37007215077508	5.66667666517915	5.18414223294228	5.41743084015272	5.01649870336973
DBNDD1	4.55107796315127	4.75029957550624	4.31837644689505	4.85487248875049	4.52305515505738	4.64002495060608	4.54270277639082	4.54296739823578	4.79021771512134	4.69193182842523	4.63292858651347	4.72646147247837	4.74533511760328	4.65345501553373	4.12299005615828	4.36813808162403	4.33150194529849	4.40666359614398	4.2906273713654	4.63184731817989
ALS2	6.58220033315269	6.47635330803564	6.81783452892892	6.41475090082816	6.38778956493618	6.40149758870367	6.52710851318457	6.61180718272512	6.50998899747104	6.79314908001698	6.23092295212239	6.68403909307457	6.68882990860223	6.46294564560614	6.34348655977857	6.43768204011109	6.57531224670983	6.28458802469569	6.596242333623	6.55576017551513
CASP10	5.3777499899561	5.33692926773778	5.41836139207944	5.15666528196634	5.25688486381387	5.40164430677208	5.38288998056844	5.263324691145	5.29134327783222	5.4679270623409	5.50121842040165	5.43673147070811	5.29456294229081	5.05166700262099	5.53883141043044	5.95427314167699	5.76377625261142	5.45836429688525	5.55663589208216	5.35572035565221
CFLAR	7.26090098876343	7.20858899273489	7.25041242626496	7.13019809414813	7.37485348223125	7.24380351911664	7.17973247843367	7.08405302986368	7.34782979994321	7.39616999016785	7.06497946365314	7.41280086312991	7.42743155363099	7.09361024955137	7.2808209385958	7.25160329869431	7.55492323671161	7.4421665200432	7.69291469013669	7.48735738780888
TFPI	6.45248904639374	6.25747589602321	6.28005162525056	6.64932739721564	6.78774006636141	6.7216440806995	6.55175588239283	6.0089796927952	6.52366451791695	6.11749445350017	6.13266408780026	6.56598629512988	6.47739955562525	6.55757722297153	6.97630430533123	6.98890818319959	6.70560039235718	6.8091729892008	6.94185887303375	6.29234492379037
NDUFAF7	5.95243377828256	5.803748233365	5.94595052001334	5.78658375197267	6.16481455162891	5.98660436551806	5.91040575042355	6.18524650802152	6.0378970275954	6.164544561028	5.85109940585818	5.85972969598855	6.02997160805374	5.99870293931938	6.03193705416274	6.2476640163795	6.03119881215367	6.00044038095021	6.36124525595863	6.01519018106371
RBM5	8.13002735259472	8.00300311414635	7.99105482245327	7.54760022369522	8.10113163826907	7.99288838304082	8.06925744526665	8.19690941953542	7.89134386858756	8.34993538729434	7.76955941817088	8.37824675912064	8.2576590577746	7.59782161820653	7.81433157225502	7.95932111222721	8.41667091741307	7.80444040458194	8.13075016271539	8.00706480499806
MTMR7	2.88994921817802	3.3315734681929	3.98828461897803	4.15273534634638	3.5750162056069	3.88461351068947	3.56769356521314	3.51628299561547	3.16428483947851	3.28834681320861	2.70913424902477	3.21549601746694	3.76614873482639	4.31955575655558	4.5295620620299	3.51179144518248	4.16437416274211	3.28675984096148	3.63472874945273	3.78704664750128
SLC7A2	6.39594306086547	6.6061019082944	6.79599825573725	7.28804444953563	7.24636856919528	6.81607468081242	6.84163413099956	6.3489381606027	6.94688114420751	6.98067429128332	6.41039527986349	6.80122975574519	7.13022776341528	7.23659691661531	7.36732209177034	7.18010357648976	7.27822233347857	7.36117006542829	6.91067574996488	6.77723000159069
ARF5	5.95008830017571	5.88667652357555	5.5599258883404	5.9334460284845	5.70182019828643	5.9188391264625	5.91491381827651	6.04097735367426	5.99923381847981	5.50261100606932	6.08383742182009	5.94351729907971	5.61649823372209	5.96477698991695	5.66788823813879	5.78959053382443	5.85238325528853	6.02048098006268	5.77446785283373	5.96142241837728
SARM1	5.8610598468876	6.1467130347937	5.58396925540487	5.87150808982017	5.59959429276267	6.29397947828919	5.93621188332958	5.44247939054454	5.44228710096866	5.9906832425934	5.47443929737904	5.96666828804875	5.60337483162183	5.43142445255559	5.94592778610015	5.54763937298055	5.78589042666924	5.9648373337254	5.91262056267201	5.72706862263742
POLDIP2	9.99912550999393	10.0489169829351	9.92538684891829	9.94531826184724	9.88655957489203	9.82616314522324	10.0562041977458	10.0303342926561	9.96910275398138	9.88451041158269	10.0259383579438	9.89433451899175	9.69718715014681	10.0480451823104	9.81014123680662	9.88779470987696	9.90440271505642	10.079100840593	9.78767187015072	10.0101871660625
PLXND1	6.961161331406	7.14324909151915	7.21571018267463	7.01884242798867	7.12974423300928	7.26011230242142	6.95052346162085	6.7501383851526	6.94723615645712	6.79020242610124	6.91148353186498	7.07539781382912	6.6299024511701	7.07914028120682	7.56577208251553	7.63815289779915	7.39948043807556	7.28104401384896	7.29514964187272	6.71494906984538
AK2	6.77741681608146	7.06803702424779	6.89314149262773	6.99133615048585	7.00098254386499	7.05320488727166	6.85535498616626	7.04700718658333	6.88307291294862	7.24924091532883	6.69430573212088	7.03499407541258	7.10380430220377	6.87053904767615	7.01330922058402	6.99254107934091	7.05185073910413	6.85003103879666	7.08755477402343	7.03027471310071
CD38	3.11357756080343	3.13751426505965	2.8238532522603	3.3183811972573	3.16447394388776	3.06092665859262	2.96954002739633	2.90239633644407	2.7630006824933	2.83284817804152	3.02134771639079	3.1687431154859	2.83508740802666	3.27345102721805	3.26062752238305	3.06256434276225	3.18621777624473	3.30574011202748	3.08933071611159	3.18500194604746
FKBP4	6.75049129510684	6.69275457748987	6.81543134492975	7.0245888500576	6.71541493592252	6.83155034629612	7.17166209807889	7.24593500606848	7.19122064359643	6.87109603689979	7.00092230539104	7.07657762945725	6.93774719857497	6.77730299538132	6.74606073013146	6.97610769636523	6.74553056876622	6.80617836776385	6.66991798407985	6.91580094314937
KDM1A	7.55369612962715	7.70722379167385	7.64243643259357	7.6709089156439	7.64029889375583	7.69982663963795	7.71018101956584	7.67693023422014	7.65121507371787	7.66027382139153	7.66655333230612	7.58217551314869	7.69527619172942	7.65359511132471	7.62050631827053	7.68588656794159	7.54342082049224	7.63141516115377	7.57974229166437	7.66594466625124
RBM6	6.95683887272638	7.18041944180242	6.83676077771005	6.64781643366574	6.99032916585445	7.05648254230466	7.06692083564597	7.2729088499895	7.1614405295404	7.52974622425235	6.76929220287907	7.2122212524891	7.42775452562503	6.84658759718604	6.85021149070217	7.16323166717787	7.34346342904381	6.82404325562796	7.15611674593417	6.92187802653474
CAMKK1	6.17071045920477	6.03389224065954	5.70472590220905	6.0248637961878	6.13696862480874	6.02600475136204	6.07949342759777	5.90248512855445	5.62667969594683	5.98446905460305	6.0443247947018	5.48797123649666	5.68857454069585	5.74364097749467	5.92463258475014	5.90908779106265	5.9821444898759	5.84334328277352	5.78377973139672	5.93261351214993
RECQL	6.5128974373748	6.30231159683747	6.71598571634153	6.54636335967364	6.78028797639124	6.7417493475662	6.43312337099939	6.45647566437922	6.58660173863454	6.48995987805546	6.70011759847251	6.37542982094574	6.53203871941282	6.61644547450975	6.80975986377396	6.78963917667704	6.76298993981933	6.51614731398376	6.53838775918027	6.70316922647048
VPS50	6.25971597956012	6.04577533282692	6.23303194856222	6.21039960597386	6.37813437587343	6.52795540376812	6.19953180744387	6.38029112830692	6.49159616529709	6.43569910155927	6.19958364637585	6.21545223482187	6.58256328433029	6.41926470180527	6.15553197632943	6.32226920447692	6.57970047757593	6.3366946408134	6.51668433709345	6.49979023547604
HSPB6	7.52912335580403	7.04756423240641	7.7838200418196	7.46602992437588	7.43092791946504	7.32127576455049	7.3579513180083	6.36297116177996	7.5133812740151	6.98875213155975	7.48078869561585	7.03943373392343	6.85277741220463	7.86151846414861	8.37625411801358	7.37854803689241	8.2464696613778	8.17652496178746	8.25898385018431	7.29137650021326
ARHGAP33	5.72854345178865	5.34843623200138	5.17442192252786	4.97037613212897	5.73396062470123	5.23009347893612	5.55092830585674	5.22908019433575	5.44441609220412	5.92343081868706	5.45275282775428	5.82401340724036	5.46180877448478	5.02834735158438	5.0602296003078	5.33840109076148	5.67859051609545	4.93840086460526	5.6341876865468	5.29006424507694
NDUFAB1	6.16891498958362	6.39142060123558	5.98370137239053	5.99825219663335	6.16773029711235	6.35038371927333	6.20199086961176	6.38469355724463	6.24999872764265	6.17137830428149	6.13382177018235	6.1820236782283	6.19095120230786	6.28114036391398	6.36806142630245	6.14890144836245	6.05693511650379	6.09031449364994	6.38209901925017	6.25174606207503
PDK4	8.1116018669019	6.63077874164515	8.70461487434753	8.44673857871538	7.8965878613999	7.29077653430627	8.40865716435635	7.25172781788508	8.4910090456664	7.40461969609806	7.90305105501456	7.99275943185973	8.76274419290868	8.12113248636074	7.72518048345645	7.34501831561831	8.15422923937248	9.10517416223715	8.78111701797762	8.34515849304649
SLC22A16	3.16605743570448	2.91852637213772	3.15318241265383	2.9815429952656	3.1435679327479	2.65284761865559	3.14174719180893	2.824580080303	2.85245529581082	3.07128341389008	3.19518892576885	2.91641739600872	3.10639656505285	3.17303449662873	3.16348162253223	3.02936808334904	2.87631354029587	3.06968350665505	2.83465377533202	2.98247339208877
ZMYND10	2.9116552156483	3.31397330630959	3.4105658348933	2.93054233199949	2.93774505217806	3.04922666905752	3.13653461879879	3.13192152801075	3.03175654048514	2.9025994364255	3.26139526735746	3.17017008963468	3.11704108561894	2.92175970435274	2.99966680908829	3.07575729139434	3.01897175107917	3.26251573582852	3.12352423168404	3.51347393061358
ABCB5	3.0433667277648	2.7955296192951	3.50321953926696	2.96519944119343	2.95642313013633	2.97071753547352	3.18855625849243	3.0375821519866	3.15316722863	2.99191884394399	3.16262326181795	3.07651261849593	2.81589282783755	3.6785941542185	3.45455699881524	3.14289079271729	3.36777524754973	3.28310695662075	3.09424335871518	3.03644306097703
ARX	5.31233409446431	4.97549822411335	4.92822879523507	5.06740182765334	4.82534819773592	4.85356907527521	4.60757178091861	5.23591781241828	5.28003304167731	5.05606231797347	5.38051991351778	4.82880038536616	4.88004489608427	4.7236913301387	5.02252417067374	4.94506361845364	4.7448969488749	5.01979004373086	4.83719484857374	5.11594662593083
SLC25A13	7.79033600830695	7.94689354540826	7.84293390874508	7.65030846649976	7.93674974898864	7.91044116215528	7.97331823526247	8.11138255052302	8.08810910847118	8.04611777270813	7.99899522022644	7.89226212882729	8.34851901737569	7.69480670190525	7.83396288154472	7.99243904387831	7.96019636344053	7.87142841980734	7.74920041000214	8.25897545904106
ST7-OT3	5.75594727949716	6.41247340244647	6.02163121371569	5.92821655449491	6.09711715876555	5.9293824457943	6.19012256988756	6.23694825070702	6.24614662153999	5.90053110501099	6.2633760471248	6.12262141027444	6.02251284403579	5.81000473994953	6.04274347214381	6.21560586014998	5.90945905852038	5.82819621963821	5.93140851542434	5.99642364549432
CDC27	8.06088595813523	8.02195831770131	8.12279489135435	8.09353779238081	8.07580263967368	8.09951018561405	7.95991505961949	7.93758088196909	7.86430256018703	8.21705465970774	7.95524714495373	7.97801323508998	7.92949913769479	8.17785616820042	8.12088212888629	8.23081251896599	7.73714029139803	8.03112034983934	7.91550098282088	8.00369481595099
SLC4A1	2.80983670714666	2.55500167268666	2.49712468231702	3.1903421852357	2.67957724594429	3.02984576265818	2.80852493231988	2.62504418382729	2.52188987107261	2.59899909286292	3.17572964444203	2.4673532480344	2.86393966807989	3.15110612176932	2.69957820045664	2.61367762992144	2.49584273516389	2.93330239570545	2.75116647393653	2.80903703902634
CALCR	2.40671794478142	2.42436233384898	2.37600446108796	2.34713161133814	2.45079396179399	2.58351927385154	2.40671378671213	2.53830109412668	2.61019062509042	2.31306169832358	2.49303803894413	2.47323777312467	2.42957604104082	2.4553007779382	2.46498423016139	2.6523357557756	2.29219255032532	2.37192075148106	2.40830638320482	2.67474802164168
HCCS	6.99728979913113	7.28034969983844	7.39577012214837	7.51481789784601	7.10172940400754	7.13664300707451	7.01946625593727	6.92424222485482	7.10631829914746	6.77911171276125	7.16673778655459	7.08252118747648	7.03088596396197	7.2932215794266	7.34666000564516	6.8798171703623	7.11909422174126	7.13080758446011	6.68186742746688	7.3534037876448
DVL2	6.63059673595862	6.88076297069062	6.5539621937856	6.840985888082	6.7298289586457	6.75918267200681	6.72327044613101	6.62787975988382	6.7572716903841	6.60528934010317	6.86394327708895	6.82986531141399	6.68042207615661	6.57612608216501	6.46864619070042	6.39577648193023	6.77531707757745	6.49045459895854	6.64724076138561	6.77550934155163
PRSS22	5.44483722059951	4.57178168203358	4.86916903151053	5.22204893709409	5.02639854732659	4.79397262603569	5.09676297761617	5.02443906972588	5.12746902279772	5.16479576301002	5.36359654739604	4.85410675492499	4.69505329595833	5.08748889887457	4.74408808875762	4.7522186399786	5.07064003749807	5.32082757102304	4.98939261253253	5.12655375465913
UPF1	8.4424304812096	8.72760094778416	8.53327575900921	8.65225609542007	8.56715094982688	8.17757030800813	8.51110891171373	8.14634353901621	8.27383330224236	8.15566829594886	8.53693140244016	8.64320968973774	8.35793460718943	8.50328745911214	8.03963372883423	8.27259542936175	8.37631325579886	8.38102959627714	8.51218476214496	8.58617770477125
SKAP2	6.38509705874414	6.32902785085411	6.61248288372926	6.54302190382281	6.69189740549174	6.53951035604627	6.3402198575939	6.39382910272235	6.75867090281604	6.27310971948864	6.6469563260024	6.49929434641076	6.51250258145973	6.43930181139713	6.41851148362886	6.45414450766397	6.59786379908922	6.68722196181953	6.09609259534807	6.51118475573082
SLC25A5	4.64985253744112	4.65962813813512	4.85630072214915	4.69684479013952	4.59443496793157	4.85309104518468	4.77038175913237	4.82626782766893	4.68904935148846	4.69161345680588	5.03274019630553	5.18406429222231	5.08934013361368	4.68772758091633	5.28166335451261	4.62558752944231	5.19601430360103	5.03247233546016	4.9673472125626	4.99897500439332
MCUB	6.61944319757982	6.51564468976249	7.01280479057001	6.62661990701999	6.57749141094802	6.84079084840535	6.62234596979707	6.04207978028069	6.70925642361148	6.47649246111949	6.23078723702327	6.37914505532251	6.20519658156449	6.64725011593959	6.6481812974424	6.85457586367586	6.59511498714384	6.35129103881313	6.58781609759354	6.34377048886337
HOXA11	3.58221966600725	3.18776242557998	3.10906627212749	3.56269517767906	3.44510439002609	3.25786193973008	3.57487570430238	3.61463957424749	3.36087723674888	3.48990905717684	3.17599364085664	3.51668712355276	3.6440710511141	3.81262440929913	3.26300739359627	3.78422600311187	3.18526592814539	3.45493469437588	3.30242416318842	3.93517792892489
