MAARS_1_003_03	MAARS_1_008_03	MAARS_1_016_03	MAARS_1_017_03	MAARS_1_044_03	MAARS_1_045_03	MAARS_1_057_03	MAARS_1_075_03	MAARS_1_082_03	MAARS_1_083_03	MAARS_1_085_03	MAARS_1_088_03	MAARS_1_090_03	MAARS_1_093_03	MAARS_1_097_03	MAARS_1_098_03	MAARS_1_100_03	MAARS_1_101_03	MAARS_1_102_03	MAARS_1_103_03
HECW1	3.84369769567587	3.79914351861217	3.43412836598682	3.8152643033782	3.37749529056773	3.32963532406412	3.72586198828296	3.96094359726701	3.73146052264322	3.46771730451255	4.13220734526033	3.6002742961774	3.74342829974257	3.72124693405016	3.92748052042728	3.86588288028654	3.94550022684976	4.01584574231805	3.79859696484581	3.62399364221696
MAD1L1	5.09556651514433	5.26759727284167	5.30332766000907	5.29037727076095	5.10151540307615	5.35945654358529	5.47822800658958	5.45077518128427	5.44988627454434	5.41302276786672	5.26720495072363	5.31495239022407	5.36360642666657	5.34525401076849	5.31399654092686	5.1762096955526	5.33052045726802	5.28757431098127	5.49435194181141	5.28353270625154
LASP1	8.65910641947749	8.31565980324662	8.74966660457931	7.97046432703575	8.23110325205935	8.28655482678925	8.12385601701335	8.57314186848691	8.23926267361015	8.24004866248339	8.18920672017567	8.45060236460468	8.59810191448978	8.22785387750582	8.44538436700785	8.36695057453327	8.33578402117384	8.26232562690703	8.61240982088665	8.53438152012852
SNX11	6.87408591445278	6.70130191539263	6.8798966686499	6.60453743876361	6.79891188744365	6.68996057899736	6.6471102910876	7.09653854696427	6.94911717699104	7.00800356400889	6.39942146822721	6.80062522884693	6.87845472012733	6.82569706137487	6.54092117201282	6.68069059773616	6.65694736094823	6.986390988827	6.62276026252177	6.92983716671319
TMEM176A	5.77847060017322	5.56501226324032	6.28399811384164	5.97435300254278	5.96401455418609	5.83349337831138	5.38037132484129	5.279904065864	5.11740468171903	5.93010136758205	5.98025017953855	5.26574431328007	5.83972435691093	5.65946441092687	6.20730369851485	5.7676218234953	5.70683176053816	5.59598686470684	5.60117452666677	6.09417649839193
M6PR	7.63102888897442	7.57244269399937	7.83437665973195	7.73924992809204	7.41833928475203	7.77469142281495	7.23104385957443	7.68498230073748	7.59612864127235	7.57786578097584	7.28846952769981	7.64378042117521	7.68854712182219	7.48179291262092	7.38797133594375	7.52799200570566	7.44149520920879	7.53387863456355	7.67018626746121	7.51169781031502
KLHL13	3.70655855285557	3.80076461448873	3.71308101247825	3.43427853061618	3.55563174097145	3.71406395776154	3.92963987096093	3.86486282097728	3.79177060373978	3.3129570170627	3.63920834704843	3.7109719399907	3.49108826306868	3.97343126185339	3.75133619310251	3.39648982011261	3.89465149909767	3.98398689471782	3.74165653259014	4.17816875223546
CYP26B1	6.01706858164476	6.19858728972795	5.79386767583694	5.91568019613815	6.10912041898884	6.04994317135512	6.40320897182149	6.0314738625167	6.07435596677818	6.00320894195473	6.06548099511415	6.01956529020063	6.00280970347656	6.10088731254675	6.42264716958767	6.06461139222448	5.92960953955619	6.51358007545466	6.55418120048066	5.73562749057287
ICA1	4.76473422146176	4.88750850350151	5.07538230570428	5.16272648260151	5.08954517728775	4.52025815792859	5.40239280706413	5.10799774816328	5.51339705203261	4.48100738458856	4.80972458656923	5.17456696956005	4.49662047510889	4.74346694881694	4.8716436351181	5.65889384115767	5.42277539522651	5.22279712256344	5.2399998903242	5.09968869358014
DBNDD1	5.04206637305626	4.61271748441395	4.25642051927961	4.62617385862598	4.75180490746793	4.36804099217284	4.51296800513109	4.47806491898245	4.79308289205797	4.91979750345587	4.68278505221131	4.82942720144514	4.56799741700152	5.20811295439832	4.96505144373743	4.50320921138771	4.90889963935075	4.50139185071943	4.61555293562061	4.53714349866466
ALS2	6.43398399499558	6.22452136029882	6.26136801682909	6.45065653080353	6.39368422682553	6.60324818431381	6.56892514515361	6.43862444384335	6.22845731911132	6.37353065102234	6.27626246406537	6.46239492102069	6.26739349633494	6.46027773483905	6.42939796803888	6.32010489585569	6.11309513035532	6.59560403050824	6.35849462494699	6.36745383038173
