MAARS_1_002_03	MAARS_1_004_03	MAARS_1_005_03	MAARS_1_006_03	MAARS_1_007_03	MAARS_1_009_03	MAARS_1_010_03	MAARS_1_015_03	MAARS_1_019_03	MAARS_1_020_03	MAARS_1_021_03	MAARS_1_024_03	MAARS_1_030_03	MAARS_1_032_03	MAARS_1_049_03	MAARS_1_054_03	MAARS_1_058_03	MAARS_1_061_03	MAARS_1_062_03	MAARS_1_066_03
ALS2	6.10643777941043	5.99128552545953	6.38488457064876	6.37797258586009	6.32918242263178	6.06607435911856	6.13066867269775	6.15429176009829	6.11034060871796	6.33466593252977	6.07619209777668	6.58894979287166	6.39785834901439	6.18340467229247	6.2875242096598	6.33534881811299	6.70333925054239	6.2503096600888	6.32186520951995	6.16158889094483
CASP10	5.92188912566822	6.3135788477718	6.02759658530517	5.59683913365101	6.00582021037718	5.9220768600565	5.7785701994215	5.99778561877343	5.87874800511423	5.90461536560738	5.8340438931224	6.13315231085363	5.5106422524563	5.95648794276199	5.96405379856813	5.94399146339842	5.92689656618658	5.7449237616574	6.01822276714207	5.85864916873143
CFLAR	7.35624042123862	7.44631645497473	7.25075177079705	7.48246130786612	7.30545804503877	7.43748041268709	7.06680655353933	7.32796502550592	7.40985088423635	7.23787856253985	7.2643392653843	7.53357403812743	6.96098838935641	7.29248607921472	7.31551474156237	7.55851189400992	7.44593625175547	7.34596233724068	7.62656113737214	7.61862114750873
TFPI	6.4734876185554	6.48523701493105	6.2710094805871	6.02050462473353	6.14881544501244	6.34493014229275	6.05062926149424	5.9675918308513	6.07767117357884	6.16782229647229	6.61563926936245	6.56060605443525	6.48760024153169	6.39740477615487	6.2538309164591	6.09337194358671	6.68551191952118	6.2641093686793	6.45074981524319	5.98320196994849
NDUFAF7	6.01873146305706	5.76939888648658	5.7811749354973	6.02942588439988	5.95219837374139	5.64106050620745	5.84244092994707	5.92822883766075	5.8259758555419	5.73544555561852	5.8109962120635	5.93588115859828	5.66350811769987	5.95070028179982	5.84346902172805	5.88496024706848	6.12506458060264	5.85603492971543	6.07618303060148	5.95307428784462
RBM5	7.53545074470207	7.73106265381229	7.62598613079549	7.72238956129778	7.57624192712972	7.58710036838045	7.54179405424647	7.68328963855065	7.57458205640421	7.32309345944804	7.16801215409741	7.90521979937319	7.24013995473506	7.34418810573648	7.83056741460212	7.7345511342075	8.0571718445752	7.7121154049594	7.84566107655681	7.65919371288107
MTMR7	3.25892577753536	3.09664608776106	3.31310941604998	3.80774257397181	3.10582439834481	3.95798239860979	3.28000204487218	3.16987628620425	3.11015517950871	3.0459459943041	3.5166687879568	3.67812328349403	4.10614664991636	3.39208818659462	2.95056009421006	3.35019888625287	4.13598607201248	3.70792125697394	3.14960386798494	3.07400798998414
SLC7A2	6.70906532245376	6.71572243760179	6.41554007091705	6.92728213422435	6.38332997457404	6.73435790545894	6.59951865040341	6.52479540264596	6.38578680766329	6.80678637504903	6.98804610219698	6.83207820098802	6.80447828805457	6.77265385602566	6.6793273165044	6.31206683205209	6.69159279045723	7.00620464750668	6.57267295374892	7.01898675166617
ARF5	6.00694837674151	5.9719335414996	5.84026284911188	5.90239587421141	5.94843598508619	6.36926559698678	6.28109950189394	5.97507914166037	6.1941070486868	6.00510782183879	6.01730266827685	5.97679945377622	5.86504867002726	5.95304310052892	5.98920725009377	5.87955173936466	5.6661224699379	6.00740386140734	6.00336927782396	6.11572141580518
SARM1	4.96376705809477	5.14125285202723	5.02475976027368	5.37117207043454	5.2615653801824	4.98444461668554	4.91147449401912	4.94437122356318	4.78266329875519	4.97213703077913	4.67202880228851	4.94304711655385	5.5813522223491	5.06937383906592	5.36212580368799	5.11430113886753	5.05114172498473	5.13012438904091	4.88752633244538	5.33529352804975
